HE579030	CladeC;C21.18
HE579031	CladeC;C21.19
HE579032	CladeC;C21.20
HE579033	CladeC;C21.21
HE579037	CladeD;D1.8
HE579039	CladeD;D1.10
HE579040	CladeD;D1.11
HE579041	CladeD;D1.12
HM185739	CladeC;C1aa
HM185740	CladeC;C3ff
HQ630872	CladeC;C3.14
HQ630873	CladeC;C21.6
HQ630874	CladeC;C21.11
HQ630875	CladeC;C21.16
HQ630876	CladeC;C31.1
HQ630877	CladeC;C31.5
HQ630878	CladeC;C31.6
HQ630879	CladeC;C31.9
HQ630880	CladeC;C31.10
HQ630881	CladeD;D1.6
JF320826	CladeC;C131
JF683321	CladeC;C3.1
JF683322	CladeC;C17.1
JF683323	CladeC;C21.1
JF683324	CladeC;C21.2
JF683325	CladeC;C21.3
JF683326	CladeC;C21.4
JF683327	CladeC;C21.5
JF683328	CladeC;C21.7
JF683329	CladeC;C21.8
JF683330	CladeC;C21.9
JF683331	CladeC;C21.10
JF683332	CladeC;C31.2
JF683333	CladeC;C31.3
JF683334	CladeC;C31.4
JF683335	CladeC;C32.1
JF683336	CladeC;C32.2
JF683337	CladeD;D1.3
JF683338	CladeD;D1a.1
JF683339	CladeD;D1a.2
JX394114	CladeC;C15.30
KC597683	CladeC;C15.21
KC597684	CladeC;C17.21
KC597685	CladeC;C15.25
KC597686	CladeC;C15.26
KC597687	CladeC;C15.28
KC597688	CladeG;G3.1
KC597689	CladeC;C15.27
KC597690	CladeC;C15.29
KC597691	CladeD;D1a.3
KC597692	CladeC;C17.22
KC597693	CladeC;C17.23
KC597694	CladeG;G3.2
KC597695	CladeC;C15.22
KC597696	CladeC;C15.24
KC597697	CladeC;C15.23
